Category: All categories

Region,Football: (1/1/04 - 3/18/21),American football: (1/1/04 - 3/18/21)
Alabama,16%,84%
Nebraska,21%,79%
Mississippi,21%,79%
Iowa,23%,77%
South Carolina,23%,77%
Tennessee,23%,77%
West Virginia,24%,76%
Oklahoma,24%,76%
Georgia,28%,72%
Louisiana,25%,75%
Ohio,30%,70%
Arkansas,24%,76%
Michigan,27%,73%
Kentucky,27%,73%
North Dakota,26%,74%
Idaho,27%,73%
Utah,33%,67%
South Dakota,30%,70%
North Carolina,33%,67%
Montana,26%,74%
Kansas,34%,66%
Wyoming,29%,71%
Texas,37%,63%
Indiana,34%,66%
Florida,34%,66%
Wisconsin,35%,65%
Pennsylvania,38%,62%
Minnesota,37%,63%
Hawaii,34%,66%
Missouri,39%,61%
Oregon,46%,54%
Colorado,38%,62%
District of Columbia,42%,58%
Arizona,37%,63%
Virginia,45%,55%
Delaware,41%,59%
Illinois,42%,58%
Washington,41%,59%
Nevada,40%,60%
New Jersey,53%,47%
New Mexico,40%,60%
Maryland,47%,53%
Connecticut,51%,49%
California,53%,47%
Massachusetts,51%,49%
New York,53%,47%
Rhode Island,52%,48%
New Hampshire,48%,52%
Vermont,55%,45%
Maine,47%,53%
Alaska,41%,59%
